id,created_at,product_name,product_price,product_sku,product_link,itemid,ebay_price,eBay_qty,site,sku,title,matched column,market_price,calculation_price,final_price,Final_price,date,product_quantity
9290,2025-10-15 04:01:31.792749+00,EQUINADE SUPREME STYLING CREAM 220ML,$11.36 (Ex GST),XESSC220,https://pronto.eastdist.com/products/XESSC220,406100779771,38.5,5,,XESSC220,,XESSC220,22.99,39.25,39.25,39.25,2025-10-23,IN STOCK
9291,2025-10-15 04:01:31.792749+00,EQUINADE SHOWSILK SHAMPOO CONCENTRATE 2.5L,$25.47 (Ex GST),XESSC2.5,https://pronto.eastdist.com/products/XESSC2.5,406100777762,64.1,5,,XESSC2.5,,XESSC2.5,36.72,64.34,64.34,64.34,2025-10-23,IN STOCK
9292,2025-10-15 04:01:31.792749+00,EQUINADE SHOWSILK SHAMPOO CONCENTRATE 5L,$41.55 (Ex GST),XESSC5,https://pronto.eastdist.com/products/XESSC5,406100777762,93.3,5,,XESSC5,,XESSC5,57.92,92.93,92.93,93.3,2025-10-23,IN STOCK
9293,2025-10-15 04:01:31.792749+00,EQUINADE SHOWSILK SHAMPOO CONCENTRATE  500ML,$9.95 (Ex GST),XESSC500,https://pronto.eastdist.com/products/XESSC500,406100777762,35.95,5,,XESSC500,,XESSC500,12.44,36.74,36.74,36.74,2025-10-23,IN STOCK
9294,2025-10-15 04:01:31.792749+00,EQUINADE STOCKHOLM TAR 1L,$31.01 (Ex GST),XEST1L,https://pronto.eastdist.com/products/XEST1L,406100781161,74.15,5,,XEST1L,,XEST1L,40.88,74.19,74.19,74.19,2025-10-23,IN STOCK
9295,2025-10-15 04:01:31.792749+00,EQUINADE STOCKHOLM TAR 20L *SPEC ORD*,$560.3 (Ex GST),XEST20L,https://pronto.eastdist.com/products/XEST20L,406100782429,1034.8,5,,XEST20L,,XEST20L,682.99,1015.26,1015.26,1034.8,2025-10-23,IN STOCK
9296,2025-10-15 04:01:31.792749+00,EQUINADE STOCKHOLM TAR 2L,$60.95 (Ex GST),XEST2L,https://pronto.eastdist.com/products/XEST2L,406100781161,128.5,5,,XEST2L,,XEST2L,80.97,127.42,127.42,128.5,2025-10-23,IN STOCK
9297,2025-10-15 04:01:31.792749+00,EQUINADE STOCKHOLM TAR 4L,$117.51 (Ex GST),XEST4L,https://pronto.eastdist.com/products/XEST4L,406100781161,231.15,5,,XEST4L,,XEST4L,154.85,227.98,227.98,231.15,2025-10-23,IN STOCK
9298,2025-10-15 04:01:31.792749+00,EQUINADE STOCKHOLM TAR 500ML,$18.26 (Ex GST),XEST500,https://pronto.eastdist.com/products/XEST500,406100781161,51,5,,XEST500,,XEST500,24.09,51.52,51.52,51.52,2025-10-23,IN STOCK
9299,2025-10-15 04:01:31.792749+00,EQUINADE SYNTHETIC TACK CLEANER 2.5L,$18.81 (Ex GST),XESTC2.5,https://pronto.eastdist.com/products/XESTC2.5,406100783054,52,5,,XESTC2.5,,XESTC2.5,33.32,52.49,52.49,52.49,2025-10-23,IN STOCK
